size,BAS,BAS_b,BAS_c,BAS_d,BAS_e,BAS_f,BAS_g,BAS_h,BAS_i,BAS_j,sampling,batch_size
10,0.52,0.5139664804469274,0.52,0.5044916201117319,0.52,0.52,0.52,0.52,0.52,0.52,uncertainty_sampling_random_forest,20
11,,,,,,,,,,,uncertainty_sampling_random_forest,20
12,,,,,,,,,,,uncertainty_sampling_random_forest,20
13,,,,,,,,,,,uncertainty_sampling_random_forest,20
14,,,,,,,,,,,uncertainty_sampling_random_forest,20
15,,,,,,,,,,,uncertainty_sampling_random_forest,20
16,,,,,,,,,,,uncertainty_sampling_random_forest,20
17,,,,,,,,,,,uncertainty_sampling_random_forest,20
18,,,,,,,,,,,uncertainty_sampling_random_forest,20
19,,,,,,,,,,,uncertainty_sampling_random_forest,20
20,,,,,,,,,,,uncertainty_sampling_random_forest,20
21,,,,,,,,,,,uncertainty_sampling_random_forest,20
22,,,,,,,,,,,uncertainty_sampling_random_forest,20
23,,,,,,,,,,,uncertainty_sampling_random_forest,20
24,,,,,,,,,,,uncertainty_sampling_random_forest,20
25,,,,,,,,,,,uncertainty_sampling_random_forest,20
26,,,,,,,,,,,uncertainty_sampling_random_forest,20
27,,,,,,,,,,,uncertainty_sampling_random_forest,20
28,,,,,,,,,,,uncertainty_sampling_random_forest,20
29,,,,,,,,,,,uncertainty_sampling_random_forest,20
30,0.5251396648044693,0.5178994413407821,0.7936536312849163,0.5279329608938548,0.7874413407821229,0.7953072625698324,0.7821005586592179,0.7248268156424581,0.5139664804469274,0.8121340782122906,uncertainty_sampling_random_forest,20
31,,,,,,,,,,,uncertainty_sampling_random_forest,20
32,,,,,,,,,,,uncertainty_sampling_random_forest,20
33,,,,,,,,,,,uncertainty_sampling_random_forest,20
34,,,,,,,,,,,uncertainty_sampling_random_forest,20
35,,,,,,,,,,,uncertainty_sampling_random_forest,20
36,,,,,,,,,,,uncertainty_sampling_random_forest,20
37,,,,,,,,,,,uncertainty_sampling_random_forest,20
38,,,,,,,,,,,uncertainty_sampling_random_forest,20
39,,,,,,,,,,,uncertainty_sampling_random_forest,20
40,,,,,,,,,,,uncertainty_sampling_random_forest,20
41,,,,,,,,,,,uncertainty_sampling_random_forest,20
42,,,,,,,,,,,uncertainty_sampling_random_forest,20
43,,,,,,,,,,,uncertainty_sampling_random_forest,20
44,,,,,,,,,,,uncertainty_sampling_random_forest,20
45,,,,,,,,,,,uncertainty_sampling_random_forest,20
46,,,,,,,,,,,uncertainty_sampling_random_forest,20
47,,,,,,,,,,,uncertainty_sampling_random_forest,20
48,,,,,,,,,,,uncertainty_sampling_random_forest,20
49,,,,,,,,,,,uncertainty_sampling_random_forest,20
50,0.596,0.8080670391061453,0.5418994413407822,0.616,0.8348603351955307,0.8633743016759776,0.7774078212290503,0.8110614525139664,0.636,0.5929385474860335,uncertainty_sampling_random_forest,20
51,,,,,,,,,,,uncertainty_sampling_random_forest,20
52,,,,,,,,,,,uncertainty_sampling_random_forest,20
53,,,,,,,,,,,uncertainty_sampling_random_forest,20
54,,,,,,,,,,,uncertainty_sampling_random_forest,20
55,,,,,,,,,,,uncertainty_sampling_random_forest,20
56,,,,,,,,,,,uncertainty_sampling_random_forest,20
57,,,,,,,,,,,uncertainty_sampling_random_forest,20
58,,,,,,,,,,,uncertainty_sampling_random_forest,20
59,,,,,,,,,,,uncertainty_sampling_random_forest,20
60,,,,,,,,,,,uncertainty_sampling_random_forest,20
61,,,,,,,,,,,uncertainty_sampling_random_forest,20
62,,,,,,,,,,,uncertainty_sampling_random_forest,20
63,,,,,,,,,,,uncertainty_sampling_random_forest,20
64,,,,,,,,,,,uncertainty_sampling_random_forest,20
65,,,,,,,,,,,uncertainty_sampling_random_forest,20
66,,,,,,,,,,,uncertainty_sampling_random_forest,20
67,,,,,,,,,,,uncertainty_sampling_random_forest,20
68,,,,,,,,,,,uncertainty_sampling_random_forest,20
69,,,,,,,,,,,uncertainty_sampling_random_forest,20
70,0.7716201117318435,0.9069273743016759,0.688,0.8244469273743016,0.8925810055865921,0.8624804469273744,0.8032402234636872,0.7,0.7692737430167598,0.632,uncertainty_sampling_random_forest,20
71,,,,,,,,,,,uncertainty_sampling_random_forest,20
72,,,,,,,,,,,uncertainty_sampling_random_forest,20
73,,,,,,,,,,,uncertainty_sampling_random_forest,20
74,,,,,,,,,,,uncertainty_sampling_random_forest,20
75,,,,,,,,,,,uncertainty_sampling_random_forest,20
76,,,,,,,,,,,uncertainty_sampling_random_forest,20
77,,,,,,,,,,,uncertainty_sampling_random_forest,20
78,,,,,,,,,,,uncertainty_sampling_random_forest,20
79,,,,,,,,,,,uncertainty_sampling_random_forest,20
80,,,,,,,,,,,uncertainty_sampling_random_forest,20
81,,,,,,,,,,,uncertainty_sampling_random_forest,20
82,,,,,,,,,,,uncertainty_sampling_random_forest,20
83,,,,,,,,,,,uncertainty_sampling_random_forest,20
84,,,,,,,,,,,uncertainty_sampling_random_forest,20
85,,,,,,,,,,,uncertainty_sampling_random_forest,20
86,,,,,,,,,,,uncertainty_sampling_random_forest,20
87,,,,,,,,,,,uncertainty_sampling_random_forest,20
88,,,,,,,,,,,uncertainty_sampling_random_forest,20
89,,,,,,,,,,,uncertainty_sampling_random_forest,20
90,0.8364469273743016,0.8004469273743017,0.8420335195530726,0.8760670391061453,0.8288268156424581,0.8984804469273743,0.905340782122905,0.8456536312849162,0.8448938547486033,0.7292067039106145,uncertainty_sampling_random_forest,20
91,,,,,,,,,,,uncertainty_sampling_random_forest,20
92,,,,,,,,,,,uncertainty_sampling_random_forest,20
93,,,,,,,,,,,uncertainty_sampling_random_forest,20
94,,,,,,,,,,,uncertainty_sampling_random_forest,20
95,,,,,,,,,,,uncertainty_sampling_random_forest,20
96,,,,,,,,,,,uncertainty_sampling_random_forest,20
97,,,,,,,,,,,uncertainty_sampling_random_forest,20
98,,,,,,,,,,,uncertainty_sampling_random_forest,20
99,,,,,,,,,,,uncertainty_sampling_random_forest,20
100,,,,,,,,,,,uncertainty_sampling_random_forest,20
101,,,,,,,,,,,uncertainty_sampling_random_forest,20
102,,,,,,,,,,,uncertainty_sampling_random_forest,20
103,,,,,,,,,,,uncertainty_sampling_random_forest,20
104,,,,,,,,,,,uncertainty_sampling_random_forest,20
105,,,,,,,,,,,uncertainty_sampling_random_forest,20
106,,,,,,,,,,,uncertainty_sampling_random_forest,20
107,,,,,,,,,,,uncertainty_sampling_random_forest,20
108,,,,,,,,,,,uncertainty_sampling_random_forest,20
109,,,,,,,,,,,uncertainty_sampling_random_forest,20
110,0.8894078212290503,0.9328938547486033,0.8801340782122905,0.9025474860335196,0.9057877094972067,0.9021675977653631,0.9136536312849162,0.9172737430167598,0.8575418994413408,0.802413407821229,uncertainty_sampling_random_forest,20
111,,,,,,,,,,,uncertainty_sampling_random_forest,20
112,,,,,,,,,,,uncertainty_sampling_random_forest,20
113,,,,,,,,,,,uncertainty_sampling_random_forest,20
114,,,,,,,,,,,uncertainty_sampling_random_forest,20
115,,,,,,,,,,,uncertainty_sampling_random_forest,20
116,,,,,,,,,,,uncertainty_sampling_random_forest,20
117,,,,,,,,,,,uncertainty_sampling_random_forest,20
118,,,,,,,,,,,uncertainty_sampling_random_forest,20
119,,,,,,,,,,,uncertainty_sampling_random_forest,20
120,,,,,,,,,,,uncertainty_sampling_random_forest,20
121,,,,,,,,,,,uncertainty_sampling_random_forest,20
122,,,,,,,,,,,uncertainty_sampling_random_forest,20
123,,,,,,,,,,,uncertainty_sampling_random_forest,20
124,,,,,,,,,,,uncertainty_sampling_random_forest,20
125,,,,,,,,,,,uncertainty_sampling_random_forest,20
126,,,,,,,,,,,uncertainty_sampling_random_forest,20
127,,,,,,,,,,,uncertainty_sampling_random_forest,20
128,,,,,,,,,,,uncertainty_sampling_random_forest,20
129,,,,,,,,,,,uncertainty_sampling_random_forest,20
130,0.9141005586592179,0.9288938547486034,0.9084469273743017,0.8387486033519553,0.9128268156424582,0.9208938547486034,0.9249608938547487,0.9208268156424582,0.8328268156424581,0.8592402234636871,uncertainty_sampling_random_forest,20
131,,,,,,,,,,,uncertainty_sampling_random_forest,20
132,,,,,,,,,,,uncertainty_sampling_random_forest,20
133,,,,,,,,,,,uncertainty_sampling_random_forest,20
134,,,,,,,,,,,uncertainty_sampling_random_forest,20
135,,,,,,,,,,,uncertainty_sampling_random_forest,20
136,,,,,,,,,,,uncertainty_sampling_random_forest,20
137,,,,,,,,,,,uncertainty_sampling_random_forest,20
138,,,,,,,,,,,uncertainty_sampling_random_forest,20
139,,,,,,,,,,,uncertainty_sampling_random_forest,20
140,,,,,,,,,,,uncertainty_sampling_random_forest,20
141,,,,,,,,,,,uncertainty_sampling_random_forest,20
142,,,,,,,,,,,uncertainty_sampling_random_forest,20
143,,,,,,,,,,,uncertainty_sampling_random_forest,20
144,,,,,,,,,,,uncertainty_sampling_random_forest,20
145,,,,,,,,,,,uncertainty_sampling_random_forest,20
146,,,,,,,,,,,uncertainty_sampling_random_forest,20
